# cycle	R.palustris	Synechococcus	co2_e	h2_e	n2_e	sucr_e
157.0	0.24197130355	0.27546959731	92.225276101	0.5738268033899999	27.426173196999997	0.010644401595999999
158.0	0.24333835102	0.27578630249	92.17135910100001	0.57935220509	27.420647795	0.0086063179909
159.0	0.24469549489	0.27610337179	92.118295414	0.5848375779199999	27.415162421999998	0.0079978027722
160.0	0.24605214281	0.27642080562	92.065595698	0.59032094617	27.409679054	0.0080069977819
161.0	0.24741587578	0.2767386044	92.012867825	0.59583295112	27.404167049	0.008016203363
162.0	0.24878673035	0.27705676856	91.96011192700001	0.60137374056	27.398626259	0.008025419527699999
163.0	0.25016474329	0.2773752985	91.90732814	0.60694346304	27.393056537	0.0080346462881
164.0	0.25154995154	0.27769419465	91.85451659600001	0.61254226787	27.387457731999998	0.0080438836565
165.0	0.25294239222	0.27801345744	91.801677434	0.61817030513	27.381829695	0.008053131645
166.0	0.25434210266	0.27833308728	91.74881078799999	0.6238277256600001	27.376172274	0.008062390265800001
167.0	0.25574912038	0.2786530846	91.695916798	0.6295146811	27.370485319	0.008071659531199999
168.0	0.25716348307	0.27897344981	91.64299560299999	0.63523132385	27.364768676	0.0080809394534
169.0	0.25858522864	0.27929418335	91.590047341	0.6409778071	27.359022193	0.008090230044600001
170.0	0.26001439519	0.27961528563	91.537072155	0.64675428482	27.353245715	0.008099531317199999
171.0	0.26145102101	0.27993675708	91.48407018700001	0.65256091179	27.347439088	0.0081088432833
172.0	0.26289514458	0.28025859813	91.431041579	0.65839784357	27.341602156	0.0081181659554
173.0	0.2643468046	0.28058080919	91.377986476	0.66426523653	27.335734763	0.0081274993457
174.0	0.26580601689	0.28090339069	91.324907885	0.67016315464	27.329836845	0.0081368434664
175.0	0.26727279513	0.28122634307	91.271809089	0.67609165323	27.323908347	0.0081461983301
176.0	0.26874717807	0.28154966674	91.21869027	0.6820508888600001	27.317949111	0.0081555639489
177.0	0.27022920465	0.28187336213	91.165551614	0.68804101891	27.311958981	0.0081649403353
178.0	0.27171891399	0.28219742967	91.112393305	0.69406220155	27.305937798000002	0.0081743275017
179.0	0.27321634543	0.28252186979	91.05921553200001	0.7001145957800001	27.299885404	0.0081837254605
180.0	0.27472153851	0.28284668292	91.006018482	0.7061983613799999	27.293801639	0.008193134224
181.0	0.27623453084	0.28317186948	90.952802608	0.7123136504	27.28768635	0.0082025538046
182.0	0.27775534075	0.28349742991	90.89957078200001	0.7184605368699999	27.281539463	0.0082119842149
183.0	0.2792840081	0.28382336463	90.846323215	0.72463918198	27.275360818000003	0.0082214254673
184.0	0.28082057298	0.28414967407	90.793060116	0.73084974772	27.269150252	0.008230877574200001
185.0	0.28236507567	0.28447635867	90.73978169899999	0.73709239691	27.262907603000002	0.0082403405481
186.0	0.28391755666	0.28480341886	90.686488176	0.74336729318	27.256632706999998	0.008249814401500001
187.0	0.28547805664	0.28513085506	90.63317976399999	0.7496746010100002	27.250325399	0.0082592991469
188.0	0.28704661651	0.28545866772	90.579856679	0.7560144857100001	27.243985514000002	0.0082687947968
189.0	0.28862327738	0.28578685726	90.526519138	0.76238711345	27.237612886999997	0.0082783013639
190.0	0.29020808056	0.28611542412	90.47316736200001	0.7687926512000001	27.231207349	0.0082878188605
191.0	0.29180106758	0.28644436872	90.41980157100001	0.7752312668100001	27.224768733	0.0082973472993
192.0	0.29340228019	0.28677369151	90.366421988	0.7817031289899999	27.218296871	0.0083068866929
193.0	0.29501176032	0.28710339293	90.313028837	0.78820840728	27.211791593	0.0083164370539
194.0	0.29662955014	0.28743347339	90.25962234200001	0.7947472721100001	27.205252728	0.0083259983949
